url	Date	Player Name	Postion	Team	Team_ID	Transaction_description
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Buddy_Jackson2016-1-04Reserve/Future	2016-1-04	Buddy Jackson	CB	dallascowboys	DAL	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# CJ_Goodwin2016-1-04Reserve/Future	2016-1-04	CJ Goodwin	WR	atlantafalcons	ATL	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# CJ_Roberts2016-1-05Reserve/Future	2016-1-05	CJ Roberts	DB	tampabaybuccaneers	TB	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Cameron_Gordon2016-1-05Reserve/Future	2016-1-05	Cameron Gordon	LB	newenglandpatriots	NE	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Cariel_Brooks2016-1-27Reserve/Future	2016-1-27	Cariel Brooks	DB	arizonacardinals	ARZ	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Carl_Bradford2016-1-18Reserve/Future	2016-1-18	Carl Bradford	OLB	greenbaypackers	GB	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Carrington_Byndom2016-1-26Reserve/Future	2016-1-26	Carrington Byndom	DB	arizonacardinals	ARZ	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Cary_Williams2016-1-05Free_Agent_Signing	2016-1-05	Cary Williams	CB	washingtonredskins	WAS	Free Agent Signing	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Casey_Pierce2016-1-04Reserve/Future	2016-1-04	Casey Pierce	TE	detroitlions	DET	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Caushaud_Lyons2016-1-19Reserve/Future	2016-1-19	Caushaud Lyons	DT	pittsburghsteelers	PIT	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Cedric_Reed2016-1-04Reserve/Future	2016-1-04	Cedric Reed	DE	buffalobills	BUF	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Cedric_Thompson2016-1-12Practice_Squad	2016-1-12	Cedric Thompson	DB	newenglandpatriots	NE	Practice Squad	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Cedric_Thompson2016-1-25Reserve/Future	2016-1-25	Cedric Thompson	DB	newenglandpatriots	NE	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Chandler_Worthy2016-1-13Reserve/Future	2016-1-13	Chandler Worthy	WR	houstontexans	HOU	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Charles_Tillman2016-1-05Reserve/Injured	2016-1-05	Charles Tillman	CB	carolinapanthers	CAR	Reserve/Injured	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Charles_Tuaau2016-1-14Reserve/Future	2016-1-14	Charles Tuaau	NT	kansascitychiefs	KC	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Chris_Barker2016-1-25Reserve/Future	2016-1-25	Chris Barker	OG	newenglandpatriots	NE	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Chris_Conte2016-1-01Reserve/Injured	2016-1-01	Chris Conte	SS	tampabaybuccaneers	TB	Reserve/Injured	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Chris_Hackett2016-1-04Reserve/Future	2016-1-04	Chris Hackett	FS	oaklandraiders	OAK	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Chris_Manhertz2016-1-05Reserve/Future	2016-1-05	Chris Manhertz	TE	neworleanssaints	NO	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Chris_Pantale2016-1-14Reserve/Future	2016-1-14	Chris Pantale	TE	philadelphiaeagles	PHI	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Christian_Ringo2016-1-18Reserve/Future	2016-1-18	Christian Ringo	DE	greenbaypackers	GB	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Christo_Bilukidi2016-1-04Reserve/Future	2016-1-04	Christo Bilukidi	DE	baltimoreravens	BAL	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Chuck_Jacobs2016-1-04Reserve/Future	2016-1-04	Chuck Jacobs	WR	baltimoreravens	BAL	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Chuka_Ndulue2016-1-04Reserve/Future	2016-1-04	Chuka Ndulue	NT	sandiegochargers	SD	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Cobi_Hamilton2016-1-06Reserve/Future	2016-1-06	Cobi Hamilton	WR	miamidolphins	MIA	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Collin_Rahrig2016-1-04Reserve/Future	2016-1-04	Collin Rahrig	G	atlantafalcons	ATL	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Colton_Underwood2016-1-04Reserve/Future	2016-1-04	Colton Underwood	LB	oaklandraiders	OAK	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Connor_Hamlett2016-1-04Reserve/Future	2016-1-04	Connor Hamlett	TE	clevelandbrowns	CLV	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Conor_Boffeli2016-1-07Reserve/Future	2016-1-07	Conor Boffeli	G	clevelandbrowns	CLV	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Corey_Acosta2016-1-06Reserve/Future	2016-1-06	Corey Acosta	K	sanfrancisco49ers	SF	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Corey_Crawford2016-1-12Reserve/Future	2016-1-12	Corey Crawford	DE	washingtonredskins	WAS	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Corey_Washington2016-1-04Reserve/Future	2016-1-04	Corey Washington	WR	detroitlions	DET	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Cornelius_Edison2016-1-05Reserve/Future	2016-1-05	Cornelius Edison	C	chicagobears	CHI	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Cory_Redding2016-1-12Reserve/Injured	2016-1-12	Cory Redding	DE	arizonacardinals	ARZ	Reserve/Injured	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Craig_Watts2016-1-11Reserve/Future	2016-1-11	Craig Watts	OG	sandiegochargers	SD	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Cyril_Lemon2016-1-05Reserve/Future	2016-1-05	Cyril Lemon	G	neworleanssaints	NO	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Cyril_Richardson2016-1-04Reserve/Future	2016-1-04	Cyril Richardson	G	buffalobills	BUF	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Da\047Ron_Brown2016-1-18Reserve/Future	2016-1-18	Da'Ron Brown	WR	kansascitychiefs	KC	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Dalton_Freeman2016-1-11Reserve/Future	2016-1-11	Dalton Freeman	C	houstontexans	HOU	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Damarr_Aultman2016-1-08Reserve/Future	2016-1-08	Damarr Aultman	WR	miamidolphins	MIA	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Dan_France2016-1-04Reserve/Future	2016-1-04	Dan France	T	clevelandbrowns	CLV	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Dan_Light2016-1-25Terminated_(by_Club)_from_Practice_Squad	2016-1-25	Dan Light	TE	denverbroncos	DEN	Terminated (by Club) from Practice Squad	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Dan_Pettinato2016-1-11Reserve/Future	2016-1-11	Dan Pettinato	DL	houstontexans	HOU	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Daniel_Munyer2016-1-05Free_Agent_Signing	2016-1-05	Daniel Munyer	C	kansascitychiefs	KC	Free Agent Signing	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Daniel_Munyer2016-1-05Terminated_(by_Player)_from_Practice_Squad	2016-1-05	Daniel Munyer	C	kansascitychiefs	KC	Terminated (by Player) from Practice Squad	
