url	Additional_Sort	GroupSort	Player_ID	Team_ID	Transaction_Date	Transaction_Description	Transaction_Type
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Boston_Celtics_waived_forward_Coty_Clarke.2015-10-20	0.0	Waive 957661 	1626262.0	1610612738.0	2015-10-20	Boston Celtics waived forward Coty Clarke.	Waive	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Boston_Celtics_waived_forward_David_Lee.2016-02-19	0.0	Waive 972073 	101135.0	1610612738.0	2016-02-19	Boston Celtics waived forward David Lee.	Waive	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Boston_Celtics_waived_forward_Malcolm_Miller.2015-10-20	0.0	Waive 957662 	1626259.0	1610612738.0	2015-10-20	Boston Celtics waived forward Malcolm Miller.	Waive	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Boston_Celtics_waived_forward_Perry_Jones_III.2015-10-24	0.0	Waive 957996 	203103.0	1610612738.0	2015-10-24	Boston Celtics waived forward Perry Jones III.	Waive	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Boston_Celtics_waived_guard_Corey_Walden.2015-10-24	0.0	Waive 957997 	1626258.0	1610612738.0	2015-10-24	Boston Celtics waived guard Corey Walden.	Waive	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Boston_Celtics_waived_guard_Levi_Randolph.2015-10-20	0.0	Waive 957664 	1626260.0	1610612738.0	2015-10-20	Boston Celtics waived guard Levi Randolph.	Waive	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Boston_Celtics_waived_guard_Phil_Pressey.2015-07-15	0.0	Waive 945268 	203515.0	1610612738.0	2015-07-15	Boston Celtics waived guard Phil Pressey.	Waive	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Boston_Celtics_waived_guard_Zoran_Dragic.2015-08-10	0.0	Waive 945978 	204054.0	1610612738.0	2015-08-10	Boston Celtics waived guard Zoran Dragic.	Waive	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Brooklyn_Nets_re-signed_center_Brook_Lopez_to_a_Contract.2015-07-09	0.0	Signing 944967 	201572.0	1610612751.0	2015-07-09	Brooklyn Nets re-signed center Brook Lopez to a Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Brooklyn_Nets_re-signed_forward_Chris_McCullough_to_a_Rookie_Scale_Contract.2015-07-01	0.0	Signing 944801  ]	1626191.0	1610612751.0	2015-07-01	Brooklyn Nets re-signed forward Chris McCullough to a Rookie Scale Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Brooklyn_Nets_re-signed_forward_Rondae_Hollis-Jefferson_to_a_Rookie_Scale_Contract.2015-07-05	0.0	Signing 944880 	1626178.0	1610612751.0	2015-07-05	Brooklyn Nets re-signed forward Rondae Hollis-Jefferson to a Rookie Scale Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Brooklyn_Nets_re-signed_forward_Thaddeus_Young_to_a_Contract.2015-07-09	0.0	Signing 944966 	201152.0	1610612751.0	2015-07-09	Brooklyn Nets re-signed forward Thaddeus Young to a Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Brooklyn_Nets_received_forward_Quincy_Miller_from_Detroit_Pistons.2015-07-13	1610612765.0	Trade 2015010 	203113.0	1610612751.0	2015-07-13	Brooklyn Nets received forward Quincy Miller from Detroit Pistons.	Trade	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Brooklyn_Nets_signed_center_Henry_Sims_to_a_10-Day_Contract.2016-03-17	0.0	Signing 973048 	203156.0	1610612751.0	2016-03-17	Brooklyn Nets signed center Henry Sims to a 10-Day Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Brooklyn_Nets_signed_center_Henry_Sims_to_a_10-Day_Contract.2016-03-27	0.0	Signing 973297 	203156.0	1610612751.0	2016-03-27	Brooklyn Nets signed center Henry Sims to a 10-Day Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Brooklyn_Nets_signed_center_Henry_Sims_to_a_Rest-of-Season_Contract.2016-04-06	0.0	Signing 973549 	203156.0	1610612751.0	2016-04-06	Brooklyn Nets signed center Henry Sims to a Rest-of-Season Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Brooklyn_Nets_signed_forward_Andrea_Bargnani_to_a_Contract.2015-07-13	0.0	Signing 945286 	200745.0	1610612751.0	2015-07-13	Brooklyn Nets signed forward Andrea Bargnani to a Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Brooklyn_Nets_signed_forward_Thomas_Robinson_to_a_Contract.2015-07-09	0.0	Signing 944969 	203080.0	1610612751.0	2015-07-09	Brooklyn Nets signed forward Thomas Robinson to a Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Brooklyn_Nets_signed_forward_Willie_Reed_to_a_Contract.2015-07-09	0.0	Signing 945040 	203186.0	1610612751.0	2015-07-09	Brooklyn Nets signed forward Willie Reed to a Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Brooklyn_Nets_signed_guard_Donald_Sloan_to_a_Contract.2015-08-08	0.0	Signing 945938 	202388.0	1610612751.0	2015-08-08	Brooklyn Nets signed guard Donald Sloan to a Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Brooklyn_Nets_signed_guard_Ryan_Boatright_to_a_Contract.2015-07-02	0.0	Signing 944820 	1626207.0	1610612751.0	2015-07-02	Brooklyn Nets signed guard Ryan Boatright to a Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Brooklyn_Nets_signed_guard_Sean_Kilpatrick_to_a_10-Day_Contract.2016-02-28	0.0	Signing 972313 	203930.0	1610612751.0	2016-02-28	Brooklyn Nets signed guard Sean Kilpatrick to a 10-Day Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Brooklyn_Nets_signed_guard_Sean_Kilpatrick_to_a_10-Day_Contract.2016-03-09	0.0	Signing 972777 	203930.0	1610612751.0	2016-03-09	Brooklyn Nets signed guard Sean Kilpatrick to a 10-Day Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Brooklyn_Nets_signed_guard_Sean_Kilpatrick_to_a_Rest-of-Season_Contract.2016-03-19	0.0	Signing 973104 	203930.0	1610612751.0	2016-03-19	Brooklyn Nets signed guard Sean Kilpatrick to a Rest-of-Season Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Brooklyn_Nets_signed_guard_Shane_Larkin_to_a_Contract.2015-07-09	0.0	Signing 944968 	203499.0	1610612751.0	2015-07-09	Brooklyn Nets signed guard Shane Larkin to a Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Brooklyn_Nets_signed_guard_Wayne_Ellington_to_a_Contract.2015-07-09	0.0	Signing 945046 	201961.0	1610612751.0	2015-07-09	Brooklyn Nets signed guard Wayne Ellington to a Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Brooklyn_Nets_waived_center_Chris_Daniels.2015-10-20	0.0	Waive 957720 	202808.0	1610612751.0	2015-10-20	Brooklyn Nets waived center Chris Daniels.	Waive	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Brooklyn_Nets_waived_forward_Andrea_Bargnani.2016-02-20	0.0	Waive 972149 	200745.0	1610612751.0	2016-02-20	Brooklyn Nets waived forward Andrea Bargnani.	Waive	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Brooklyn_Nets_waived_forward_Cory_Jefferson.2015-07-13	0.0	Waive 945162 	203928.0	1610612751.0	2015-07-13	Brooklyn Nets waived forward Cory Jefferson.	Waive	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Brooklyn_Nets_waived_forward_Dahntay_Jones.2015-10-26	0.0	Waive 958187 	2563.0	1610612751.0	2015-10-26	Brooklyn Nets waived forward Dahntay Jones.	Waive	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Brooklyn_Nets_waived_forward_Earl_Clark.2015-08-10	0.0	Waive 945977 	201947.0	1610612751.0	2015-08-10	Brooklyn Nets waived forward Earl Clark.	Waive	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Brooklyn_Nets_waived_forward_Justin_Harper.2015-10-26	0.0	Waive 958185 	202712.0	1610612751.0	2015-10-26	Brooklyn Nets waived forward Justin Harper.	Waive	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Brooklyn_Nets_waived_forward_Quincy_Miller.2015-10-20	0.0	Waive 957667 	203113.0	1610612751.0	2015-10-20	Brooklyn Nets waived forward Quincy Miller.	Waive	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Brooklyn_Nets_waived_guard_Deron_Williams.2015-07-11	0.0	Waive 945062 	101114.0	1610612751.0	2015-07-11	Brooklyn Nets waived guard Deron Williams.	Waive	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Brooklyn_Nets_waived_guard_Joe_Johnson.2016-02-25	0.0	Waive 972225 	2207.0	1610612751.0	2016-02-25	Brooklyn Nets waived guard Joe Johnson.	Waive	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Brooklyn_Nets_waived_guard_Ryan_Boatright.2015-10-20	0.0	Waive 957666 	1626207.0	1610612751.0	2015-10-20	Brooklyn Nets waived guard Ryan Boatright.	Waive	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Charlotte_Hornets_re-signed_center_Frank_Kaminsky_to_a_Rookie_Scale_Contract.2015-07-02	0.0	Signing 944876 	1626163.0	1610612766.0	2015-07-02	Charlotte Hornets re-signed center Frank Kaminsky to a Rookie Scale Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Charlotte_Hornets_re-signed_forward_Michael_Kidd-Gilchrist_to_a_Rookie_Scale_Extension.2015-08-26	0.0	Signing 946037 	203077.0	1610612766.0	2015-08-26	Charlotte Hornets re-signed forward Michael Kidd-Gilchrist to a Rookie Scale Extension.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Charlotte_Hornets_re-signed_guard_Jeremy_Lamb_to_a_Rookie_Scale_Extension.2015-11-02	0.0	Signing 959386 	203087.0	1610612766.0	2015-11-02	Charlotte Hornets re-signed guard Jeremy Lamb to a Rookie Scale Extension.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Charlotte_Hornets_received_guard_Courtney_Lee_from_Memphis_Grizzlies.2016-02-16	1610612763.0	Trade 2015030 	201584.0	1610612766.0	2016-02-16	Charlotte Hornets received guard Courtney Lee from Memphis Grizzlies.	Trade	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Charlotte_Hornets_signed_forward_Tyler_Hansbrough_to_a_Contract.2015-07-22	0.0	Signing 945322 	201946.0	1610612766.0	2015-07-22	Charlotte Hornets signed forward Tyler Hansbrough to a Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Charlotte_Hornets_signed_guard_Aaron_Harrison_to_a_Contract.2015-07-14	0.0	Signing 945266 	1626151.0	1610612766.0	2015-07-14	Charlotte Hornets signed guard Aaron Harrison to a Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Charlotte_Hornets_signed_guard_Elliot_Williams_to_a_Contract.2015-07-28	0.0	Signing 945594 	202343.0	1610612766.0	2015-07-28	Charlotte Hornets signed guard Elliot Williams to a Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Charlotte_Hornets_signed_guard_Jeremy_Lin_to_a_Contract.2015-07-09	0.0	Signing 944911 	202391.0	1610612766.0	2015-07-09	Charlotte Hornets signed guard Jeremy Lin to a Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Charlotte_Hornets_signed_guard_Jorge_Gutierrez_to_a_10-Day_Contract.2016-02-20	0.0	Signing 972091 	203268.0	1610612766.0	2016-02-20	Charlotte Hornets signed guard Jorge Gutierrez to a 10-Day Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Charlotte_Hornets_signed_guard_Jorge_Gutierrez_to_a_10-Day_Contract.2016-03-01	0.0	Signing 972369 	203268.0	1610612766.0	2016-03-01	Charlotte Hornets signed guard Jorge Gutierrez to a 10-Day Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Charlotte_Hornets_signed_guard_Jorge_Gutierrez_to_a_Rest-of-Season_Contract.2016-03-11	0.0	Signing 972856 	203268.0	1610612766.0	2016-03-11	Charlotte Hornets signed guard Jorge Gutierrez to a Rest-of-Season Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Charlotte_Hornets_waived_center_Jason_Washburn.2015-10-23	0.0	Waive 957852 	1626279.0	1610612766.0	2015-10-23	Charlotte Hornets waived center Jason Washburn.	Waive	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Charlotte_Hornets_waived_forward_Sam_Thompson.2015-10-23	0.0	Waive 957851 	1626280.0	1610612766.0	2015-10-23	Charlotte Hornets waived forward Sam Thompson.	Waive	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Charlotte_Hornets_waived_guard_Damien_Wilkins.2015-10-23	0.0	Waive 957853 	2863.0	1610612766.0	2015-10-23	Charlotte Hornets waived guard Damien Wilkins.	Waive	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Charlotte_Hornets_waived_guard_Elliot_Williams.2015-10-23	0.0	Waive 957854 	202343.0	1610612766.0	2015-10-23	Charlotte Hornets waived guard Elliot Williams.	Waive	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Chicago_Bulls_re-signed_forward_Bobby_Portis_to_a_Rookie_Scale_Contract.2015-07-07	0.0	Signing 944885 	1626171.0	1610612741.0	2015-07-07	Chicago Bulls re-signed forward Bobby Portis to a Rookie Scale Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Chicago_Bulls_re-signed_forward_Jimmy_Butler_to_a_Contract.2015-07-09	0.0	Signing 944965 	202710.0	1610612741.0	2015-07-09	Chicago Bulls re-signed forward Jimmy Butler to a Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Chicago_Bulls_re-signed_guard_Aaron_Brooks_to_a_Contract.2015-07-14	0.0	Signing 945202 	201166.0	1610612741.0	2015-07-14	Chicago Bulls re-signed guard Aaron Brooks to a Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Chicago_Bulls_re-signed_guard_Mike_Dunleavy_to_a_Contract.2015-07-14	0.0	Signing 945201 	2399.0	1610612741.0	2015-07-14	Chicago Bulls re-signed guard Mike Dunleavy to a Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Chicago_Bulls_received_draft_consideration_from_Utah_Jazz.2016-02-18	1610612762.0	Trade 2015034 	0.0	1610612741.0	2016-02-18	Chicago Bulls received draft consideration from Utah Jazz.	Trade	
