task_type	task_name	url	description	tag	external_id	external_id_old
/american_football/football_player	Charles Johnson	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Charles_Johnson2016-3-03Terminated,_Vested_Veteran,_all_contracts	*Find or create each transaction and curate as per guidelines* Player Name: Charles Johnson # Team: carolinapanthers # Date: 2016-3-03 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Charles_Johnson2016-3-03Terminated,_Vested_Veteran,_all_contracts	SPLGROSTNfl	2016303#Charles Johnson#carolinapanthers#Terminated, Vested Veteran, all contracts	2016303#Charles Johnson#carolinapanthers
/american_football/football_player	Charles Johnson	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Charles_Johnson2016-3-09Free_Agent_Signing	*Find or create each transaction and curate as per guidelines* Player Name: Charles Johnson # Team: carolinapanthers # Date: 2016-3-09 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Charles_Johnson2016-3-09Free_Agent_Signing	SPLGROSTNfl	2016309#Charles Johnson#carolinapanthers#Free Agent Signing	2016309#Charles Johnson#carolinapanthers
/american_football/football_player	Chase Daniel	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Chase_Daniel2016-3-10Unrestricted_Free_Agent_Signing	*Find or create each transaction and curate as per guidelines* Player Name: Chase Daniel # Team: philadelphiaeagles # Date: 2016-3-10 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Chase_Daniel2016-3-10Unrestricted_Free_Agent_Signing	SPLGROSTNfl	2016310#Chase Daniel#philadelphiaeagles#Unrestricted Free Agent Signing	2016310#Chase Daniel#philadelphiaeagles
/american_football/football_player	Chi Chi Ariguzo	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Chi_Chi_Ariguzo2016-3-03Waived,_No_Recall	*Find or create each transaction and curate as per guidelines* Player Name: Chi Chi Ariguzo # Team: sandiegochargers # Date: 2016-3-03 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Chi_Chi_Ariguzo2016-3-03Waived,_No_Recall	SPLGROSTNfl	2016303#Chi Chi Ariguzo#sandiegochargers#Waived, No Recall	2016303#Chi Chi Ariguzo#sandiegochargers
/american_football/football_player	Chris Carter	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Chris_Carter2016-3-17Unrestricted_Free_Agent_Signing	*Find or create each transaction and curate as per guidelines* Player Name: Chris Carter # Team: baltimoreravens # Date: 2016-3-17 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Chris_Carter2016-3-17Unrestricted_Free_Agent_Signing	SPLGROSTNfl	2016317#Chris Carter#baltimoreravens#Unrestricted Free Agent Signing	2016317#Chris Carter#baltimoreravens
/american_football/football_player	Chris Clark	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Chris_Clark2016-3-09Unrestricted_Free_Agent_Signing	*Find or create each transaction and curate as per guidelines* Player Name: Chris Clark # Team: houstontexans # Date: 2016-3-09 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Chris_Clark2016-3-09Unrestricted_Free_Agent_Signing	SPLGROSTNfl	2016309#Chris Clark#houstontexans#Unrestricted Free Agent Signing	2016309#Chris Clark#houstontexans
/american_football/football_player	Chris Clemons	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Chris_Clemons2016-3-03Terminated,_Vested_Veteran,_all_contracts	*Find or create each transaction and curate as per guidelines* Player Name: Chris Clemons # Team: jacksonvillejaguars # Date: 2016-3-03 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Chris_Clemons2016-3-03Terminated,_Vested_Veteran,_all_contracts	SPLGROSTNfl	2016303#Chris Clemons#jacksonvillejaguars#Terminated, Vested Veteran, all contracts	2016303#Chris Clemons#jacksonvillejaguars
/american_football/football_player	Chris Conte	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Chris_Conte2016-3-14Unrestricted_Free_Agent_Signing	*Find or create each transaction and curate as per guidelines* Player Name: Chris Conte # Team: tampabaybuccaneers # Date: 2016-3-14 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Chris_Conte2016-3-14Unrestricted_Free_Agent_Signing	SPLGROSTNfl	2016314#Chris Conte#tampabaybuccaneers#Unrestricted Free Agent Signing	2016314#Chris Conte#tampabaybuccaneers
/american_football/football_player	Chris Givens	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Chris_Givens2016-3-16Unrestricted_Free_Agent_Signing	*Find or create each transaction and curate as per guidelines* Player Name: Chris Givens # Team: philadelphiaeagles # Date: 2016-3-16 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Chris_Givens2016-3-16Unrestricted_Free_Agent_Signing	SPLGROSTNfl	2016316#Chris Givens#philadelphiaeagles#Unrestricted Free Agent Signing	2016316#Chris Givens#philadelphiaeagles
/american_football/football_player	Chris Hairston	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Chris_Hairston2016-3-24Unrestricted_Free_Agent_Signing	*Find or create each transaction and curate as per guidelines* Player Name: Chris Hairston # Team: sandiegochargers # Date: 2016-3-24 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Chris_Hairston2016-3-24Unrestricted_Free_Agent_Signing	SPLGROSTNfl	2016324#Chris Hairston#sandiegochargers#Unrestricted Free Agent Signing	2016324#Chris Hairston#sandiegochargers
