task_type	task_name	url	description	tag	external_id	external_id_old
/american_football/football_player	Efe Obada	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Efe_Obada2016-3-09Free_Agent_Signing	*Find or create each transaction and curate as per guidelines* Player Name: Efe Obada # Team: kansascitychiefs # Date: 2016-3-09 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Efe_Obada2016-3-09Free_Agent_Signing	SPLGROSTNfl	2016309#Efe Obada#kansascitychiefs#Free Agent Signing	2016309#Efe Obada#kansascitychiefs
/american_football/football_player	Emmanuel Lamur	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Emmanuel_Lamur2016-3-10Unrestricted_Free_Agent_Signing	*Find or create each transaction and curate as per guidelines* Player Name: Emmanuel Lamur # Team: minnesotavikings # Date: 2016-3-10 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Emmanuel_Lamur2016-3-10Unrestricted_Free_Agent_Signing	SPLGROSTNfl	2016310#Emmanuel Lamur#minnesotavikings#Unrestricted Free Agent Signing	2016310#Emmanuel Lamur#minnesotavikings
/american_football/football_player	Eric Winston	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Eric_Winston2016-3-10Unrestricted_Free_Agent_Signing	*Find or create each transaction and curate as per guidelines* Player Name: Eric Winston # Team: cincinnatibengals # Date: 2016-3-10 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Eric_Winston2016-3-10Unrestricted_Free_Agent_Signing	SPLGROSTNfl	2016310#Eric Winston#cincinnatibengals#Unrestricted Free Agent Signing	2016310#Eric Winston#cincinnatibengals
/american_football/football_player	Frank Kearse	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Frank_Kearse2016-3-11Unrestricted_Free_Agent_Signing	*Find or create each transaction and curate as per guidelines* Player Name: Frank Kearse # Team: newenglandpatriots # Date: 2016-3-11 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Frank_Kearse2016-3-11Unrestricted_Free_Agent_Signing	SPLGROSTNfl	2016311#Frank Kearse#newenglandpatriots#Unrestricted Free Agent Signing	2016311#Frank Kearse#newenglandpatriots
/american_football/football_player	Frank Zombo	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Frank_Zombo2016-3-10Unrestricted_Free_Agent_Signing	*Find or create each transaction and curate as per guidelines* Player Name: Frank Zombo # Team: kansascitychiefs # Date: 2016-3-10 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Frank_Zombo2016-3-10Unrestricted_Free_Agent_Signing	SPLGROSTNfl	2016310#Frank Zombo#kansascitychiefs#Unrestricted Free Agent Signing	2016310#Frank Zombo#kansascitychiefs
/american_football/football_player	Garrett Graham	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Garrett_Graham2016-3-03Terminated,_Vested_Veteran,_all_contracts	*Find or create each transaction and curate as per guidelines* Player Name: Garrett Graham # Team: houstontexans # Date: 2016-3-03 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Garrett_Graham2016-3-03Terminated,_Vested_Veteran,_all_contracts	SPLGROSTNfl	2016303#Garrett Graham#houstontexans#Terminated, Vested Veteran, all contracts	2016303#Garrett Graham#houstontexans
/american_football/football_player	Geoff Schwartz	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Geoff_Schwartz2016-3-01Terminated,_Vested_Veteran,_all_contracts	*Find or create each transaction and curate as per guidelines* Player Name: Geoff Schwartz # Team: newyorkgiants # Date: 2016-3-01 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Geoff_Schwartz2016-3-01Terminated,_Vested_Veteran,_all_contracts	SPLGROSTNfl	2016301#Geoff Schwartz#newyorkgiants#Terminated, Vested Veteran, all contracts	2016301#Geoff Schwartz#newyorkgiants
/american_football/football_player	George Iloka	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#George_Iloka2016-3-10Unrestricted_Free_Agent_Signing	*Find or create each transaction and curate as per guidelines* Player Name: George Iloka # Team: cincinnatibengals # Date: 2016-3-10 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#George_Iloka2016-3-10Unrestricted_Free_Agent_Signing	SPLGROSTNfl	2016310#George Iloka#cincinnatibengals#Unrestricted Free Agent Signing	2016310#George Iloka#cincinnatibengals
/american_football/football_player	Gino Gradkowski	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Gino_Gradkowski2016-3-10Unrestricted_Free_Agent_Signing	*Find or create each transaction and curate as per guidelines* Player Name: Gino Gradkowski # Team: carolinapanthers # Date: 2016-3-10 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Gino_Gradkowski2016-3-10Unrestricted_Free_Agent_Signing	SPLGROSTNfl	2016310#Gino Gradkowski#carolinapanthers#Unrestricted Free Agent Signing	2016310#Gino Gradkowski#carolinapanthers
/american_football/football_player	Greg Jennings	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Greg_Jennings2016-3-07Terminated,_Vested_Veteran,_all_contracts	*Find or create each transaction and curate as per guidelines* Player Name: Greg Jennings # Team: miamidolphins # Date: 2016-3-07 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Greg_Jennings2016-3-07Terminated,_Vested_Veteran,_all_contracts	SPLGROSTNfl	2016307#Greg Jennings#miamidolphins#Terminated, Vested Veteran, all contracts	2016307#Greg Jennings#miamidolphins
/american_football/football_player	Haloti Ngata	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Haloti_Ngata2016-3-10Unrestricted_Free_Agent_Signing	*Find or create each transaction and curate as per guidelines* Player Name: Haloti Ngata # Team: detroitlions # Date: 2016-3-10 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Haloti_Ngata2016-3-10Unrestricted_Free_Agent_Signing	SPLGROSTNfl	2016310#Haloti Ngata#detroitlions#Unrestricted Free Agent Signing	2016310#Haloti Ngata#detroitlions
/american_football/football_player	Heath Miller	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Heath_Miller2016-3-07Reserve/Retired	*Find or create each transaction and curate as per guidelines* Player Name: Heath Miller # Team: pittsburghsteelers # Date: 2016-3-07 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Heath_Miller2016-3-07Reserve/Retired	SPLGROSTNfl	2016307#Heath Miller#pittsburghsteelers#Reserve/Retired	2016307#Heath Miller#pittsburghsteelers
/american_football/football_player	Ifeanyi Momah	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Ifeanyi_Momah2016-3-10Exclusive_Rights_Signing	*Find or create each transaction and curate as per guidelines* Player Name: Ifeanyi Momah # Team: arizonacardinals # Date: 2016-3-10 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Ifeanyi_Momah2016-3-10Exclusive_Rights_Signing	SPLGROUSNflMar14	2016310#Ifeanyi Momah#arizonacardinals#Exclusive Rights Signing	2016310#Ifeanyi Momah#arizonacardinals
/american_football/football_player	Isa Abdul-Quddus	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Isa_Abdul-Quddus2016-3-11Unrestricted_Free_Agent_Signing	*Find or create each transaction and curate as per guidelines* Player Name: Isa Abdul-Quddus # Team: miamidolphins # Date: 2016-3-11 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Isa_Abdul-Quddus2016-3-11Unrestricted_Free_Agent_Signing	SPLGROSTNfl	2016311#Isa Abdul-Quddus#miamidolphins#Unrestricted Free Agent Signing	2016311#Isa Abdul-Quddus#miamidolphins
/american_football/football_player	JR Sweezy	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#JR_Sweezy2016-3-11Unrestricted_Free_Agent_Signing	*Find or create each transaction and curate as per guidelines* Player Name: JR Sweezy # Team: tampabaybuccaneers # Date: 2016-3-11 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#JR_Sweezy2016-3-11Unrestricted_Free_Agent_Signing	SPLGROSTNfl	2016311#JR Sweezy#tampabaybuccaneers#Unrestricted Free Agent Signing	2016311#JR Sweezy#tampabaybuccaneers
/american_football/football_player	Jacques McClendon	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Jacques_McClendon2016-3-11Free_Agent_Signing	*Find or create each transaction and curate as per guidelines* Player Name: Jacques McClendon # Team: miamidolphins # Date: 2016-3-11 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Jacques_McClendon2016-3-11Free_Agent_Signing	SPLGROSTNfl	2016311#Jacques McClendon#miamidolphins#Free Agent Signing	2016311#Jacques McClendon#miamidolphins
/american_football/football_player	Jamell Fleming	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Jamell_Fleming2016-3-12Unrestricted_Free_Agent_Signing	*Find or create each transaction and curate as per guidelines* Player Name: Jamell Fleming # Team: kansascitychiefs # Date: 2016-3-12 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Jamell_Fleming2016-3-12Unrestricted_Free_Agent_Signing	SPLGROSTNfl	2016312#Jamell Fleming#kansascitychiefs#Unrestricted Free Agent Signing	2016312#Jamell Fleming#kansascitychiefs
/american_football/football_player	James-Michael Johnson	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#James-Michael_Johnson2016-3-09Unrestricted_Free_Agent_Signing	*Find or create each transaction and curate as per guidelines* Player Name: James-Michael Johnson # Team: miamidolphins # Date: 2016-3-09 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#James-Michael_Johnson2016-3-09Unrestricted_Free_Agent_Signing	SPLGROSTNfl	2016309#James-Michael Johnson#miamidolphins#Unrestricted Free Agent Signing	2016309#James-Michael Johnson#miamidolphins
